Model,Best_Accuracy,Params,FC_Dims
Bspline,96.71229655808652,6840,"[5, 95, 1]"
Bspline,96.64607115512615,5760,"[5, 80, 1]"
Bspline,96.64607115512615,5760,"[5, 80, 1]"
Bspline,96.6165408647562,5688,"[5, 79, 1]"
Bspline,96.6165408647562,5688,"[5, 79, 1]"
Bspline,96.6165408647562,5688,"[5, 79, 1]"
Bspline,96.59348781385204,6264,"[5, 87, 1]"
Bspline,96.59348781385204,6264,"[5, 87, 1]"
Bspline,96.59348781385204,6264,"[5, 87, 1]"
Bspline,96.57185546575377,6336,"[5, 88, 1]"
Bspline,96.55684569365279,6120,"[5, 85, 1]"
Bspline,96.53406762376564,4896,"[5, 68, 1]"
Bspline,96.53406762376564,4896,"[5, 68, 1]"
Bspline,96.48244677091466,6696,"[5, 93, 1]"
Bspline,96.46342743481026,7200,"[5, 100, 1]"
Bspline,96.46342743481026,7200,"[5, 100, 1]"
Bspline,96.46342743481026,7200,"[5, 100, 1]"
Bspline,96.46043745759158,6552,"[5, 91, 1]"
Bspline,96.46043745759158,6552,"[5, 91, 1]"
Bspline,96.45788339375146,5400,"[5, 75, 1]"
Bspline,96.45749067705877,3960,"[5, 55, 1]"
Bspline,96.43521987310868,5184,"[5, 72, 1]"
Bspline,96.43521987310868,5184,"[5, 72, 1]"
Bspline,96.43113109132156,7056,"[5, 98, 1]"
Bspline,96.42616563116478,4248,"[5, 59, 1]"
Bspline,96.40512751892007,4176,"[5, 58, 1]"
Bspline,96.40002266339249,5832,"[5, 81, 1]"
Bspline,96.40002266339249,5832,"[5, 81, 1]"
Bspline,96.40002266339249,5832,"[5, 81, 1]"
Bspline,96.33447712125773,5328,"[5, 74, 1]"
Bspline,96.30232017153062,5976,"[5, 83, 1]"
Bspline,96.27341979944906,6480,"[5, 90, 1]"
Bspline,96.26469499571499,4680,"[5, 65, 1]"
Bspline,96.26469499571499,4680,"[5, 65, 1]"
Bspline,96.23114804652309,6048,"[5, 84, 1]"
Bspline,96.13482006548804,3240,"[5, 45, 1]"
Bspline,96.11648963070864,6768,"[5, 94, 1]"
Bspline,96.11648963070864,6768,"[5, 94, 1]"
Bspline,96.0754951251649,5544,"[5, 77, 1]"
Bspline,96.0754951251649,5544,"[5, 77, 1]"
Bspline,96.06228340371301,3312,"[5, 46, 1]"
Bspline,96.03547329668942,5040,"[5, 70, 1]"
Bspline,96.03492956379735,2376,"[5, 33, 1]"
Bspline,96.02543012552677,4320,"[5, 60, 1]"
Bspline,95.9200717617261,4464,"[5, 62, 1]"
Bspline,95.87912916460903,6912,"[5, 96, 1]"
Bspline,95.81342933381829,2520,"[5, 35, 1]"
Bspline,95.23579538568647,1656,"[5, 23, 1]"
Bspline,94.45755134921231,720,"[5, 10, 1]"
Bspline,94.1369166161184,504,"[5, 7, 1]"
